# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-a" "data/afum_ann.gff" "-o" "feature_counts/control_3/control_3_counts.txt" "star_align/control_3/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star_align/control_3/Aligned.sortedByCoord.out.bam
Afu8g05820	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1384114;1386162;1386601	1386115;1386550;1387134	-;-;-	2925	72
Afu1g00220	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	47313;49208	49189;49481	+;+	2151	835
Afu1g11050	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2889965;2891029;2891135;2891453;2892004;2892457;2892645	2890976;2891080;2891390;2891943;2892391;2892587;2894388	+;+;+;+;+;+;+	4074	139
Afu5g13370	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3517576;3518859;3519333	3518804;3519277;3520528	-;-;-	2844	340
Afu6g13800	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	3527435;3527646;3527888;3528318	3527623;3527711;3528264;3528828	+;+;+;+	1143	305
Afu3g04030	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1143730;1143927;1144206;1144375;1144460;1144589;1144950;1145210;1145547	1143864;1144148;1144323;1144406;1144539;1144890;1145136;1145494;1145838	-;-;-;-;-;-;-;-;-	1653	91
Afu2g15312	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	4054611;4054881;4055137;4055947	4054822;4055078;4055886;4056088	+;+;+;+	1302	18
Afu1g13950	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3730591;3731030	3730976;3731507	-;-	864	34
Afu1g05760	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1658382;1659094;1659232;1659433	1659035;1659180;1659374;1659697	-;-;-;-	1149	278
Afu4g12640	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	3317436;3317723;3318523	3317672;3318449;3319196	-;-;-	1638	345
Afu7g08410	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1931140;1931547	1931408;1931877	-;-	600	118
Afu5g05640	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	1315190;1315812	1315749;1316091	-;-	840	1827
Afu2g12330	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	3167216;3167908;3168072;3168199;3168560;3169555;3169737	3167801;3167930;3168089;3168505;3169505;3169682;3170002	+;+;+;+;+;+;+	2274	956
Afu4g08450	Chr4_A_fumigatus_Af293	2182781	2183782	-	1002	31
Afu5g02650	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	692297;692526;692864	692469;692796;693109	-;-;-	690	4699
Afu5g08970	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	2303293;2303777;2304553;2304715	2303718;2304486;2304657;2304986	-;-;-;-	1513	509
Afu2g16480	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	4374015;4375537	4375459;4375738	-;-	1647	1072
Afu2g17720	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	4719690;4720376	4720295;4721078	+;+	1309	5
Afu3g05800	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1417896;1418118	1418081;1418849	-;-	918	42
Afu8g01638	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	429161;429471	429408;429996	+;+	774	43
Afu5g14060	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3676056;3676791;3677045	3676719;3676994;3677836	+;+;+	1660	595
Afu3g13140	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3487770;3488700	3488658;3488875	-;-	1065	8670
Afu6g10380	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2565347;2566184;2568611;2569008	2565942;2568554;2568949;2569720	+;+;+;+	4019	1837
Afu8g04650	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1062176;1062360	1062243;1062906	+;+	615	1516
Afu2g09430	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2410018;2410158;2410448;2410576	2410066;2410309;2410499;2410640	+;+;+;+	318	54
Afu4g13220	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	3465192;3465405	3465322;3465627	+;+	354	27
Afu3g12350	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3255708;3255786;3256499;3256762	3255730;3256440;3256633;3256778	-;-;-;-	830	10844
Afu3g09280	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2353956;2354606	2354347;2355185	+;+	972	1180
Afu3g08010	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2045437;2047057	2046983;2048176	+;+	2667	12221
Afu6g10300	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2546063;2547023;2547154	2546970;2547101;2547851	+;+;+	1685	1934
Afu2g14680	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	3852321;3852951;3853672;3854131;3854403	3852900;3853608;3853761;3854333;3855384	-;-;-;-;-	2513	3772
Afu1g12650	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3341793;3342287;3342928;3343165;3343418	3342220;3342863;3343108;3343248;3343715	-;-;-;-;-	1568	499
Afu6g05045	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1198722;1199446;1199600	1199374;1199514;1199751	+;+;+	874	120
